,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.871,0.871,7.608570311836885,1.2719574612751838,1000,,0,0.0418161129928194,"(slice(142, 152, None), slice(139, 149, None), slice(237, 247, None))"
1,0.871,0.871,9.488293247375026,1.01997034929914,1000,,1,0.026991335034836084,"(slice(142, 152, None), slice(139, 149, None), slice(237, 247, None))"
2,0.871,0.871,8.844101699569986,1.0942635110412995,1000,,2,0.024780425999779254,"(slice(142, 152, None), slice(139, 149, None), slice(237, 247, None))"
3,0.515,0.515,0.5119746652080633,11.17676832680138,1000,,0,0.02264082001056522,"(slice(26, 36, None), slice(241, 251, None), slice(135, 145, None))"
4,0.515,0.515,4.888078897352799,1.1706484985995549,1000,,1,0.024468618037644774,"(slice(26, 36, None), slice(241, 251, None), slice(135, 145, None))"
5,0.515,0.515,4.697308273032291,1.218191757835879,1000,,2,0.022808271984104067,"(slice(26, 36, None), slice(241, 251, None), slice(135, 145, None))"
6,0.208,0.0,0.0,inf,1000,,0,0.013013304967898875,"(slice(138, 148, None), slice(50, 60, None), slice(183, 193, None))"
7,0.208,0.207,1.9337587791934838,1.1893934366308423,1000,,1,0.021202848001848906,"(slice(138, 148, None), slice(50, 60, None), slice(183, 193, None))"
8,0.208,0.0,0.0,inf,1000,,2,0.013162054994609207,"(slice(138, 148, None), slice(50, 60, None), slice(183, 193, None))"
9,0.576,0.576,5.774088466080479,1.1084000596105166,1000,,0,0.022263852995820343,"(slice(231, 241, None), slice(120, 130, None), slice(44, 54, None))"
10,0.576,0.0,0.0,inf,1000,,1,0.013316307973582298,"(slice(231, 241, None), slice(120, 130, None), slice(44, 54, None))"
11,0.576,0.576,6.160794100954019,1.0388271211675357,1000,,2,0.023914487974252552,"(slice(231, 241, None), slice(120, 130, None), slice(44, 54, None))"
12,0.57,0.57,3.2403220150385077,1.954538253895753,1000,,0,0.028156432963442057,"(slice(11, 21, None), slice(229, 239, None), slice(194, 204, None))"
13,0.57,0.57,5.258846952051226,1.2043197664961518,1000,,1,0.02463237300980836,"(slice(11, 21, None), slice(229, 239, None), slice(194, 204, None))"
14,0.57,0.57,4.224619007224521,1.4991489936732043,1000,,2,0.023555441002827138,"(slice(11, 21, None), slice(229, 239, None), slice(194, 204, None))"
15,0.073,0.0,0.0,inf,1000,,0,0.013159110036212951,"(slice(45, 55, None), slice(184, 194, None), slice(57, 67, None))"
16,0.073,0.065,0.33588826560472745,2.15018592841267,1000,,1,0.01929871301399544,"(slice(45, 55, None), slice(184, 194, None), slice(57, 67, None))"
17,0.073,0.0,0.0,inf,1000,,2,0.012936488958075643,"(slice(45, 55, None), slice(184, 194, None), slice(57, 67, None))"
18,0.0,0.0,0.0,inf,1000,,0,0.013077354000415653,"(slice(141, 151, None), slice(280, 290, None), slice(85, 95, None))"
19,0.0,0.0,0.0,inf,1000,,1,0.01286523399176076,"(slice(141, 151, None), slice(280, 290, None), slice(85, 95, None))"
20,0.0,0.0,0.0,inf,1000,,2,0.012825634970795363,"(slice(141, 151, None), slice(280, 290, None), slice(85, 95, None))"
21,0.332,0.0,0.0,inf,1000,,0,0.013108984974678606,"(slice(117, 127, None), slice(155, 165, None), slice(92, 102, None))"
22,0.332,0.284,1.7193859888306884,1.8352804873683835,1000,,1,0.022307752980850637,"(slice(117, 127, None), slice(155, 165, None), slice(92, 102, None))"
23,0.332,0.0,0.0,inf,1000,,2,0.01324294600635767,"(slice(117, 127, None), slice(155, 165, None), slice(92, 102, None))"
24,0.405,0.405,2.2652833497424134,1.986506456471195,1000,,0,0.021883336012251675,"(slice(269, 279, None), slice(74, 84, None), slice(41, 51, None))"
25,0.405,0.405,2.9857519605801386,1.5071580156061053,1000,,1,0.02188771200599149,"(slice(269, 279, None), slice(74, 84, None), slice(41, 51, None))"
26,0.405,0.405,0.9258916818313668,4.860179747051219,1000,,2,0.02193761500529945,"(slice(269, 279, None), slice(74, 84, None), slice(41, 51, None))"
27,0.561,0.561,3.5796530833763125,1.7413233037247517,1000,,0,0.023504721000790596,"(slice(88, 98, None), slice(41, 51, None), slice(62, 72, None))"
