,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.0,0.0,0.0,inf,1000,,0,0.018441638036165386,"(slice(54, 64, None), slice(266, 276, None), slice(345, 355, None))"
1,0.0,0.0,0.0,inf,1000,,1,0.014767681015655398,"(slice(54, 64, None), slice(266, 276, None), slice(345, 355, None))"
2,0.0,0.0,0.0,inf,1000,,2,0.013255002035293728,"(slice(54, 64, None), slice(266, 276, None), slice(345, 355, None))"
3,0.445,0.445,3.388609242777495,1.4591367992585946,1000,,0,0.021682540012989193,"(slice(205, 215, None), slice(0, 10, None), slice(283, 293, None))"
4,0.445,0.445,3.1623539500656292,1.563532900655169,1000,,1,0.02156339504290372,"(slice(205, 215, None), slice(0, 10, None), slice(283, 293, None))"
5,0.445,0.0,0.0,inf,1000,,2,0.012953149969689548,"(slice(205, 215, None), slice(0, 10, None), slice(283, 293, None))"
6,0.0,0.0,0.0,inf,1000,,0,0.01293083600467071,"(slice(48, 58, None), slice(390, 400, None), slice(0, 10, None))"
7,0.0,0.0,0.0,inf,1000,,1,0.01259241095976904,"(slice(48, 58, None), slice(390, 400, None), slice(0, 10, None))"
8,0.0,0.0,0.0,inf,1000,,2,0.012780527991708368,"(slice(48, 58, None), slice(390, 400, None), slice(0, 10, None))"
9,0.0,0.0,0.0,inf,1000,,0,0.01317281398223713,"(slice(316, 326, None), slice(64, 74, None), slice(30, 40, None))"
10,0.0,0.0,0.0,inf,1000,,1,0.012613676954060793,"(slice(316, 326, None), slice(64, 74, None), slice(30, 40, None))"
11,0.0,0.0,0.0,inf,1000,,2,0.012606228003278375,"(slice(316, 326, None), slice(64, 74, None), slice(30, 40, None))"
12,0.004,0.0,0.0,inf,1000,,0,0.012863081996329129,"(slice(207, 217, None), slice(98, 108, None), slice(344, 354, None))"
13,0.004,0.0,0.0,inf,1000,,1,0.012802320998162031,"(slice(207, 217, None), slice(98, 108, None), slice(344, 354, None))"
14,0.004,0.0,0.0,inf,1000,,2,0.012885664007626474,"(slice(207, 217, None), slice(98, 108, None), slice(344, 354, None))"
15,0.106,0.0,0.0,inf,1000,,0,0.012928560026921332,"(slice(16, 26, None), slice(152, 162, None), slice(379, 389, None))"
16,0.106,0.0,0.0,inf,1000,,1,0.01291495602345094,"(slice(16, 26, None), slice(152, 162, None), slice(379, 389, None))"
17,0.106,0.0,0.0,inf,1000,,2,0.01288497302448377,"(slice(16, 26, None), slice(152, 162, None), slice(379, 389, None))"
18,0.364,0.0,0.0,inf,1000,,0,0.013012914976570755,"(slice(162, 172, None), slice(329, 339, None), slice(200, 210, None))"
19,0.364,0.36,2.474092493549097,1.6167544303333552,1000,,1,0.021002997003961354,"(slice(162, 172, None), slice(329, 339, None), slice(200, 210, None))"
20,0.364,0.36,1.4305389797120673,2.796148903824419,1000,,2,0.02117044699843973,"(slice(162, 172, None), slice(329, 339, None), slice(200, 210, None))"
21,0.11,0.0,0.0,inf,1000,,0,0.012643306981772184,"(slice(129, 139, None), slice(317, 327, None), slice(356, 366, None))"
22,0.11,0.0,0.0,inf,1000,,1,0.012708640017081052,"(slice(129, 139, None), slice(317, 327, None), slice(356, 366, None))"
23,0.11,0.0,0.0,inf,1000,,2,0.012752827955409884,"(slice(129, 139, None), slice(317, 327, None), slice(356, 366, None))"
24,0.514,0.514,2.568958372115325,2.2231232600349546,1000,,0,0.022497972997371107,"(slice(62, 72, None), slice(160, 170, None), slice(305, 315, None))"
25,0.514,0.0,0.0,inf,1000,,1,0.012730157002806664,"(slice(62, 72, None), slice(160, 170, None), slice(305, 315, None))"
26,0.514,0.514,4.930371505696436,1.158353098648373,1000,,2,0.02181809803005308,"(slice(62, 72, None), slice(160, 170, None), slice(305, 315, None))"
27,0.0,0.0,0.0,inf,1000,,0,0.012756639975123107,"(slice(10, 20, None), slice(358, 368, None), slice(241, 251, None))"
28,0.0,0.0,0.0,inf,1000,,1,0.012963568966370076,"(slice(10, 20, None), slice(358, 368, None), slice(241, 251, None))"
29,0.0,0.0,0.0,inf,1000,,2,0.012993163021747023,"(slice(10, 20, None), slice(358, 368, None), slice(241, 251, None))"
30,0.0,0.0,0.0,inf,1000,,0,0.0128499650163576,"(slice(253, 263, None), slice(29, 39, None), slice(153, 163, None))"
31,0.0,0.0,0.0,inf,1000,,1,0.012561204028315842,"(slice(253, 263, None), slice(29, 39, None), slice(153, 163, None))"
32,0.0,0.0,0.0,inf,1000,,2,0.012558998016174883,"(slice(253, 263, None), slice(29, 39, None), slice(153, 163, None))"
33,0.041,0.0,0.0,inf,1000,,0,0.012573582003824413,"(slice(57, 67, None), slice(275, 285, None), slice(212, 222, None))"
34,0.041,0.0,0.0,inf,1000,,1,0.01259087398648262,"(slice(57, 67, None), slice(275, 285, None), slice(212, 222, None))"
35,0.041,0.0,0.0,inf,1000,,2,0.012640030996408314,"(slice(57, 67, None), slice(275, 285, None), slice(212, 222, None))"
36,0.646,0.646,2.8139161043505827,2.5508144207569834,1000,,0,0.029250669002067298,"(slice(97, 107, None), slice(257, 267, None), slice(207, 217, None))"
37,0.646,0.646,5.589756662591092,1.2840948561883498,1000,,1,0.026572176022455096,"(slice(97, 107, None), slice(257, 267, None), slice(207, 217, None))"
38,0.646,0.646,4.778151110762478,1.5022081996549455,1000,,2,0.024508098023943603,"(slice(97, 107, None), slice(257, 267, None), slice(207, 217, None))"
39,0.0,0.0,0.0,inf,1000,,0,0.01335236697923392,"(slice(102, 112, None), slice(296, 306, None), slice(354, 364, None))"
40,0.0,0.0,0.0,inf,1000,,1,0.013293074036482722,"(slice(102, 112, None), slice(296, 306, None), slice(354, 364, None))"
41,0.0,0.0,0.0,inf,1000,,2,0.013420070987194777,"(slice(102, 112, None), slice(296, 306, None), slice(354, 364, None))"
42,0.001,0.0,0.0,inf,1000,,0,0.013330393005162477,"(slice(146, 156, None), slice(109, 119, None), slice(163, 173, None))"
43,0.001,0.0,0.0,inf,1000,,1,0.013165352982468903,"(slice(146, 156, None), slice(109, 119, None), slice(163, 173, None))"
44,0.001,0.0,0.0,inf,1000,,2,0.013313987001311034,"(slice(146, 156, None), slice(109, 119, None), slice(163, 173, None))"
45,0.138,0.0,0.0,inf,1000,,0,0.013297680008690804,"(slice(237, 247, None), slice(376, 386, None), slice(134, 144, None))"
46,0.138,0.0,0.0,inf,1000,,1,0.013177302025724202,"(slice(237, 247, None), slice(376, 386, None), slice(134, 144, None))"
47,0.138,0.089,0.3112740916713968,3.176907154652726,1000,,2,0.019017595041077584,"(slice(237, 247, None), slice(376, 386, None), slice(134, 144, None))"
48,0.0,0.0,0.0,inf,1000,,0,0.013259289029520005,"(slice(362, 372, None), slice(53, 63, None), slice(383, 393, None))"
49,0.0,0.0,0.0,inf,1000,,1,0.012887286022305489,"(slice(362, 372, None), slice(53, 63, None), slice(383, 393, None))"
50,0.0,0.0,0.0,inf,1000,,2,0.012634360988158733,"(slice(362, 372, None), slice(53, 63, None), slice(383, 393, None))"
