,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.0,0.0,0.0,inf,1000,,0,0.017883450957015157,"(slice(172, 182, None), slice(219, 229, None), slice(245, 255, None))"
1,0.0,0.0,0.0,inf,1000,,1,0.014141142019070685,"(slice(172, 182, None), slice(219, 229, None), slice(245, 255, None))"
2,0.0,0.0,0.0,inf,1000,,2,0.014358489017467946,"(slice(172, 182, None), slice(219, 229, None), slice(245, 255, None))"
3,0.562,0.0,0.0,inf,1000,,0,0.013372996996622533,"(slice(152, 162, None), slice(2, 12, None), slice(290, 300, None))"
4,0.562,0.562,5.721785184838553,1.0913454879415643,1000,,1,0.022225684020668268,"(slice(152, 162, None), slice(2, 12, None), slice(290, 300, None))"
5,0.562,0.562,5.4746754954568795,1.140605402023618,1000,,2,0.021976564952638,"(slice(152, 162, None), slice(2, 12, None), slice(290, 300, None))"
6,0.212,0.212,1.5697217709126285,1.5006197908474233,1000,,0,0.02125139703275636,"(slice(118, 128, None), slice(232, 242, None), slice(253, 263, None))"
7,0.212,0.212,1.89203968488152,1.244982108133245,1000,,1,0.02075096999760717,"(slice(118, 128, None), slice(232, 242, None), slice(253, 263, None))"
8,0.212,0.0,0.0,inf,1000,,2,0.01305936899734661,"(slice(118, 128, None), slice(232, 242, None), slice(253, 263, None))"
9,0.201,0.201,1.0601074181213828,2.1067047500629936,1000,,0,0.02068319299723953,"(slice(245, 255, None), slice(91, 101, None), slice(200, 210, None))"
10,0.201,0.201,1.6801052270541867,1.3292818195971865,1000,,1,0.021214879991021007,"(slice(245, 255, None), slice(91, 101, None), slice(200, 210, None))"
11,0.201,0.0,0.0,inf,1000,,2,0.0129945800290443,"(slice(245, 255, None), slice(91, 101, None), slice(200, 210, None))"
12,0.0,0.0,0.0,inf,1000,,0,0.012854678032454103,"(slice(51, 61, None), slice(97, 107, None), slice(51, 61, None))"
13,0.0,0.0,0.0,inf,1000,,1,0.01276642200537026,"(slice(51, 61, None), slice(97, 107, None), slice(51, 61, None))"
14,0.0,0.0,0.0,inf,1000,,2,0.012723893974907696,"(slice(51, 61, None), slice(97, 107, None), slice(51, 61, None))"
15,0.0,0.0,0.0,inf,1000,,0,0.01291631197091192,"(slice(155, 165, None), slice(4, 14, None), slice(210, 220, None))"
16,0.0,0.0,0.0,inf,1000,,1,0.012737596000079066,"(slice(155, 165, None), slice(4, 14, None), slice(210, 220, None))"
17,0.0,0.0,0.0,inf,1000,,2,0.012795657967217267,"(slice(155, 165, None), slice(4, 14, None), slice(210, 220, None))"
18,0.0,0.0,0.0,inf,1000,,0,0.012847565987613052,"(slice(36, 46, None), slice(134, 144, None), slice(177, 187, None))"
19,0.0,0.0,0.0,inf,1000,,1,0.012766774976626039,"(slice(36, 46, None), slice(134, 144, None), slice(177, 187, None))"
20,0.0,0.0,0.0,inf,1000,,2,0.012824887002352625,"(slice(36, 46, None), slice(134, 144, None), slice(177, 187, None))"
21,0.0,0.0,0.0,inf,1000,,0,0.012985234032385051,"(slice(175, 185, None), slice(167, 177, None), slice(148, 158, None))"
22,0.0,0.0,0.0,inf,1000,,1,0.01305404701270163,"(slice(175, 185, None), slice(167, 177, None), slice(148, 158, None))"
23,0.0,0.0,0.0,inf,1000,,2,0.013264389999676496,"(slice(175, 185, None), slice(167, 177, None), slice(148, 158, None))"
24,0.0,0.0,0.0,inf,1000,,0,0.012995284982025623,"(slice(214, 224, None), slice(200, 210, None), slice(221, 231, None))"
25,0.0,0.0,0.0,inf,1000,,1,0.012918655993416905,"(slice(214, 224, None), slice(200, 210, None), slice(221, 231, None))"
26,0.0,0.0,0.0,inf,1000,,2,0.012785244965925813,"(slice(214, 224, None), slice(200, 210, None), slice(221, 231, None))"
27,0.0,0.0,0.0,inf,1000,,0,0.012724482046905905,"(slice(55, 65, None), slice(130, 140, None), slice(148, 158, None))"
28,0.0,0.0,0.0,inf,1000,,1,0.01271702500525862,"(slice(55, 65, None), slice(130, 140, None), slice(148, 158, None))"
29,0.0,0.0,0.0,inf,1000,,2,0.012714048963971436,"(slice(55, 65, None), slice(130, 140, None), slice(148, 158, None))"
30,0.0,0.0,0.0,inf,1000,,0,0.012973912002053112,"(slice(256, 266, None), slice(127, 137, None), slice(289, 299, None))"
31,0.0,0.0,0.0,inf,1000,,1,0.012963387998752296,"(slice(256, 266, None), slice(127, 137, None), slice(289, 299, None))"
32,0.0,0.0,0.0,inf,1000,,2,0.012798315030522645,"(slice(256, 266, None), slice(127, 137, None), slice(289, 299, None))"
33,0.007,0.0,0.0,inf,1000,,0,0.012774531962350011,"(slice(37, 47, None), slice(184, 194, None), slice(58, 68, None))"
34,0.007,0.0,0.0,inf,1000,,1,0.012771527981385589,"(slice(37, 47, None), slice(184, 194, None), slice(58, 68, None))"
35,0.007,0.0,0.0,inf,1000,,2,0.012857994996011257,"(slice(37, 47, None), slice(184, 194, None), slice(58, 68, None))"
36,0.489,0.489,4.0840482131069145,1.3303793319325088,1000,,0,0.022391155012883246,"(slice(126, 136, None), slice(82, 92, None), slice(198, 208, None))"
37,0.489,0.0,0.0,inf,1000,,1,0.013045209052506834,"(slice(126, 136, None), slice(82, 92, None), slice(198, 208, None))"
38,0.489,0.489,4.755258319154789,1.142594780066347,1000,,2,0.022490211995318532,"(slice(126, 136, None), slice(82, 92, None), slice(198, 208, None))"
39,0.564,0.564,5.5580889335232495,1.1274858573906,1000,,0,0.022542540973518044,"(slice(73, 83, None), slice(142, 152, None), slice(182, 192, None))"
40,0.564,0.564,4.725692181672541,1.3260843968996592,1000,,1,0.022660081973299384,"(slice(73, 83, None), slice(142, 152, None), slice(182, 192, None))"
41,0.564,0.564,2.9295102650944624,2.1391516327267746,1000,,2,0.022502047999296337,"(slice(73, 83, None), slice(142, 152, None), slice(182, 192, None))"
42,0.232,0.0,0.0,inf,1000,,0,0.01282908400753513,"(slice(124, 134, None), slice(75, 85, None), slice(11, 21, None))"
43,0.232,0.0,0.0,inf,1000,,1,0.01288394205039367,"(slice(124, 134, None), slice(75, 85, None), slice(11, 21, None))"
44,0.232,0.13,0.6605833119957054,2.1866196408755707,1000,,2,0.019416815950535238,"(slice(124, 134, None), slice(75, 85, None), slice(11, 21, None))"
45,0.0,0.0,0.0,inf,1000,,0,0.013038780947681516,"(slice(229, 239, None), slice(62, 72, None), slice(190, 200, None))"
46,0.0,0.0,0.0,inf,1000,,1,0.012846422963775694,"(slice(229, 239, None), slice(62, 72, None), slice(190, 200, None))"
47,0.0,0.0,0.0,inf,1000,,2,0.012882641982287169,"(slice(229, 239, None), slice(62, 72, None), slice(190, 200, None))"
48,0.23,0.23,1.7291507052524364,1.4779252888674463,1000,,0,0.020412446989212185,"(slice(55, 65, None), slice(182, 192, None), slice(256, 266, None))"
49,0.23,0.23,0.7000865416675892,3.6503423554869143,1000,,1,0.0207058530068025,"(slice(55, 65, None), slice(182, 192, None), slice(256, 266, None))"
50,0.23,0.0,0.0,inf,1000,,2,0.01311923802131787,"(slice(55, 65, None), slice(182, 192, None), slice(256, 266, None))"
51,0.414,0.414,3.1660443123615845,1.4529171250192683,1000,,0,0.021710405009798706,"(slice(219, 229, None), slice(288, 298, None), slice(102, 112, None))"
52,0.414,0.414,1.1845359062590108,3.8833774271374115,1000,,1,0.021392639027908444,"(slice(219, 229, None), slice(288, 298, None), slice(102, 112, None))"
53,0.414,0.414,1.8192609297847464,2.5284993068829706,1000,,2,0.022912029002327472,"(slice(219, 229, None), slice(288, 298, None), slice(102, 112, None))"
54,0.0,0.0,0.0,inf,1000,,0,0.01504063600441441,"(slice(227, 237, None), slice(50, 60, None), slice(5, 15, None))"
55,0.0,0.0,0.0,inf,1000,,1,0.014747108041774482,"(slice(227, 237, None), slice(50, 60, None), slice(5, 15, None))"
56,0.0,0.0,0.0,inf,1000,,2,0.013738138950429857,"(slice(227, 237, None), slice(50, 60, None), slice(5, 15, None))"
57,0.238,0.0,0.0,inf,1000,,0,0.013581485953181982,"(slice(199, 209, None), slice(91, 101, None), slice(283, 293, None))"
58,0.238,0.238,2.3574417171649724,1.1217432970621293,1000,,1,0.022839770012069494,"(slice(199, 209, None), slice(91, 101, None), slice(283, 293, None))"
59,0.238,0.238,2.4130885912432207,1.0958754079899027,1000,,2,0.021905560977756977,"(slice(199, 209, None), slice(91, 101, None), slice(283, 293, None))"
60,0.573,0.573,2.811291576408464,2.264676748614007,1000,,0,0.023666072986088693,"(slice(20, 30, None), slice(177, 187, None), slice(164, 174, None))"
