,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.139,0.0,0.0,inf,1000,,0,0.027081507025286555,"(slice(233, 243, None), slice(143, 153, None), slice(30, 40, None))"
1,0.139,0.0,0.0,inf,1000,,1,0.01579018891789019,"(slice(233, 243, None), slice(143, 153, None), slice(30, 40, None))"
2,0.139,0.139,0.5663172064533991,2.727172028052327,1000,,2,0.025989670073613524,"(slice(233, 243, None), slice(143, 153, None), slice(30, 40, None))"
3,0.547,0.547,2.823911206795299,2.1522552703330615,1000,,0,0.029078676947392523,"(slice(183, 193, None), slice(276, 286, None), slice(281, 291, None))"
4,0.547,0.547,5.0221571955820945,1.2101926604615831,1000,,1,0.03007777000311762,"(slice(183, 193, None), slice(276, 286, None), slice(281, 291, None))"
5,0.547,0.547,2.1600049330130004,2.813779582114129,1000,,2,0.025772014050744474,"(slice(183, 193, None), slice(276, 286, None), slice(281, 291, None))"
6,0.458,0.458,2.3029684312231886,2.2097084874871684,1000,,0,0.024481281987391412,"(slice(198, 208, None), slice(161, 171, None), slice(183, 193, None))"
7,0.458,0.458,0.4016424487799582,12.67019684883174,1000,,1,0.024847556021995842,"(slice(198, 208, None), slice(161, 171, None), slice(183, 193, None))"
8,0.458,0.458,4.385939722082329,1.1602733305401696,1000,,2,0.02380695496685803,"(slice(198, 208, None), slice(161, 171, None), slice(183, 193, None))"
9,0.138,0.109,0.4348418082766151,2.785176328630961,1000,,0,0.02041052107233554,"(slice(97, 107, None), slice(122, 132, None), slice(264, 274, None))"
10,0.138,0.109,0.6902933985984524,1.7544874593471542,1000,,1,0.02060590696055442,"(slice(97, 107, None), slice(122, 132, None), slice(264, 274, None))"
11,0.138,0.0,0.0,inf,1000,,2,0.014032126986421645,"(slice(97, 107, None), slice(122, 132, None), slice(264, 274, None))"
12,0.399,0.399,1.8375082920806638,2.412687524970754,1000,,0,0.02213615702930838,"(slice(213, 223, None), slice(228, 238, None), slice(265, 275, None))"
13,0.399,0.399,2.97996111744161,1.4877151609077,1000,,1,0.021671353024430573,"(slice(213, 223, None), slice(228, 238, None), slice(265, 275, None))"
14,0.399,0.399,3.6448257431160673,1.2163361559071815,1000,,2,0.022089047939516604,"(slice(213, 223, None), slice(228, 238, None), slice(265, 275, None))"
15,0.374,0.0,0.0,inf,1000,,0,0.01380990503821522,"(slice(217, 227, None), slice(240, 250, None), slice(239, 249, None))"
16,0.374,0.374,3.9312090520767042,1.0570680674843118,1000,,1,0.022572580026462674,"(slice(217, 227, None), slice(240, 250, None), slice(239, 249, None))"
17,0.374,0.374,3.9326708377593795,1.0566751520763338,1000,,2,0.0220421269768849,"(slice(217, 227, None), slice(240, 250, None), slice(239, 249, None))"
18,0.625,0.625,6.240374163548623,1.1128250105592143,1000,,0,0.023159133037552238,"(slice(135, 145, None), slice(187, 197, None), slice(249, 259, None))"
19,0.625,0.0,0.0,inf,1000,,1,0.014265013975091279,"(slice(135, 145, None), slice(187, 197, None), slice(249, 259, None))"
20,0.625,0.625,5.876449470617571,1.1817415395413304,1000,,2,0.024907288025133312,"(slice(135, 145, None), slice(187, 197, None), slice(249, 259, None))"
21,0.073,0.0,0.0,inf,1000,,0,0.014406124013476074,"(slice(59, 69, None), slice(13, 23, None), slice(189, 199, None))"
22,0.073,0.0,0.0,inf,1000,,1,0.014017250039614737,"(slice(59, 69, None), slice(13, 23, None), slice(189, 199, None))"
23,0.073,0.012,0.1111113104938669,1.1999978466701016,1000,,2,0.018791564041748643,"(slice(59, 69, None), slice(13, 23, None), slice(189, 199, None))"
24,0.066,0.0,0.0,inf,1000,,0,0.014113542973063886,"(slice(69, 79, None), slice(205, 215, None), slice(41, 51, None))"
