,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.896,0.896,7.5819621191405835,1.3130579392401422,1000,,0,0.2727383819874376,"(slice(267, 277, None), slice(240, 250, None), slice(277, 287, None))"
1,0.896,0.896,9.469168692711092,1.051365318184569,1000,,1,0.023817100911401212,"(slice(267, 277, None), slice(240, 250, None), slice(277, 287, None))"
2,0.896,0.896,9.442509491237667,1.0543336561953134,1000,,2,0.023230522987432778,"(slice(267, 277, None), slice(240, 250, None), slice(277, 287, None))"
3,0.875,0.875,8.872934289853754,1.0957166935564522,1000,,0,0.023602798930369318,"(slice(121, 131, None), slice(387, 397, None), slice(169, 179, None))"
4,0.875,0.875,8.278776635022412,1.1743549380343807,1000,,1,0.02559701108839363,"(slice(121, 131, None), slice(387, 397, None), slice(169, 179, None))"
5,0.875,0.875,8.69129284836724,1.1186163430275686,1000,,2,0.02336022793315351,"(slice(121, 131, None), slice(387, 397, None), slice(169, 179, None))"
6,0.229,0.229,1.4881143160554,1.709844745791505,1000,,0,0.020492979092523456,"(slice(387, 397, None), slice(225, 235, None), slice(147, 157, None))"
7,0.229,0.0,0.0,inf,1000,,1,0.01263036101590842,"(slice(387, 397, None), slice(225, 235, None), slice(147, 157, None))"
8,0.229,0.0,0.0,inf,1000,,2,0.012536194059066474,"(slice(387, 397, None), slice(225, 235, None), slice(147, 157, None))"
9,0.028,0.0,0.0,inf,1000,,0,0.012581039918586612,"(slice(192, 202, None), slice(220, 230, None), slice(60, 70, None))"
10,0.028,0.0,0.0,inf,1000,,1,0.012648742063902318,"(slice(192, 202, None), slice(220, 230, None), slice(60, 70, None))"
11,0.028,0.0,0.0,inf,1000,,2,0.012648937990888953,"(slice(192, 202, None), slice(220, 230, None), slice(60, 70, None))"
12,0.0,0.0,0.0,inf,1000,,0,0.012620297027751803,"(slice(241, 251, None), slice(145, 155, None), slice(210, 220, None))"
13,0.0,0.0,0.0,inf,1000,,1,0.012594321044161916,"(slice(241, 251, None), slice(145, 155, None), slice(210, 220, None))"
14,0.0,0.0,0.0,inf,1000,,2,0.012652475968934596,"(slice(241, 251, None), slice(145, 155, None), slice(210, 220, None))"
15,0.049,0.0,0.0,inf,1000,,0,0.01257142995018512,"(slice(41, 51, None), slice(269, 279, None), slice(265, 275, None))"
16,0.049,0.0,0.0,inf,1000,,1,0.012676098034717143,"(slice(41, 51, None), slice(269, 279, None), slice(265, 275, None))"
17,0.049,0.0,0.0,inf,1000,,2,0.012483985046856105,"(slice(41, 51, None), slice(269, 279, None), slice(265, 275, None))"
18,0.0,0.0,0.0,inf,1000,,0,0.012628689990378916,"(slice(1, 11, None), slice(346, 356, None), slice(19, 29, None))"
19,0.0,0.0,0.0,inf,1000,,1,0.013063858030363917,"(slice(1, 11, None), slice(346, 356, None), slice(19, 29, None))"
20,0.0,0.0,0.0,inf,1000,,2,0.013161365990526974,"(slice(1, 11, None), slice(346, 356, None), slice(19, 29, None))"
21,0.0,0.0,0.0,inf,1000,,0,0.01333444903139025,"(slice(230, 240, None), slice(226, 236, None), slice(80, 90, None))"
22,0.0,0.0,0.0,inf,1000,,1,0.01313788304105401,"(slice(230, 240, None), slice(226, 236, None), slice(80, 90, None))"
23,0.0,0.0,0.0,inf,1000,,2,0.012675751000642776,"(slice(230, 240, None), slice(226, 236, None), slice(80, 90, None))"
24,0.151,0.0,0.0,inf,1000,,0,0.012578743044286966,"(slice(220, 230, None), slice(168, 178, None), slice(209, 219, None))"
25,0.151,0.0,0.0,inf,1000,,1,0.012497534044086933,"(slice(220, 230, None), slice(168, 178, None), slice(209, 219, None))"
26,0.151,0.143,0.9833388627144112,1.6158101231786117,1000,,2,0.020084827090613544,"(slice(220, 230, None), slice(168, 178, None), slice(209, 219, None))"
27,0.0,0.0,0.0,inf,1000,,0,0.012437051977030933,"(slice(99, 109, None), slice(110, 120, None), slice(190, 200, None))"
28,0.0,0.0,0.0,inf,1000,,1,0.012498460011556745,"(slice(99, 109, None), slice(110, 120, None), slice(190, 200, None))"
29,0.0,0.0,0.0,inf,1000,,2,0.012496743001975119,"(slice(99, 109, None), slice(110, 120, None), slice(190, 200, None))"
30,0.0,0.0,0.0,inf,1000,,0,0.012505121063441038,"(slice(247, 257, None), slice(80, 90, None), slice(311, 321, None))"
31,0.0,0.0,0.0,inf,1000,,1,0.012500514043495059,"(slice(247, 257, None), slice(80, 90, None), slice(311, 321, None))"
