,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.0,0.0,0.0,inf,1000,,0,0.019653283059597015,"(slice(215, 225, None), slice(152, 162, None), slice(241, 251, None))"
1,0.0,0.0,0.0,inf,1000,,1,0.013447869918309152,"(slice(215, 225, None), slice(152, 162, None), slice(241, 251, None))"
2,0.0,0.0,0.0,inf,1000,,2,0.013420481001958251,"(slice(215, 225, None), slice(152, 162, None), slice(241, 251, None))"
3,0.248,0.248,2.325130828690231,1.1851184980880354,1000,,0,0.021797452005557716,"(slice(173, 183, None), slice(178, 188, None), slice(266, 276, None))"
4,0.248,0.0,0.0,inf,1000,,1,0.01321382203605026,"(slice(173, 183, None), slice(178, 188, None), slice(266, 276, None))"
5,0.248,0.0,0.0,inf,1000,,2,0.013281823019497097,"(slice(173, 183, None), slice(178, 188, None), slice(266, 276, None))"
6,0.007,0.0,0.0,inf,1000,,0,0.013294216012582183,"(slice(276, 286, None), slice(236, 246, None), slice(221, 231, None))"
7,0.007,0.0,0.0,inf,1000,,1,0.01320010598283261,"(slice(276, 286, None), slice(236, 246, None), slice(221, 231, None))"
8,0.007,0.0,0.0,inf,1000,,2,0.013108459068462253,"(slice(276, 286, None), slice(236, 246, None), slice(221, 231, None))"
9,0.544,0.544,5.080432020041594,1.189750088299569,1000,,0,0.02226270199753344,"(slice(285, 295, None), slice(149, 159, None), slice(141, 151, None))"
10,0.544,0.544,1.2872041287631117,4.6957932385227945,1000,,1,0.0232910179765895,"(slice(285, 295, None), slice(149, 159, None), slice(141, 151, None))"
11,0.544,0.544,4.361240586794935,1.3859461142194158,1000,,2,0.023028929019346833,"(slice(285, 295, None), slice(149, 159, None), slice(141, 151, None))"
12,0.094,0.0,0.0,inf,1000,,0,0.0133377619786188,"(slice(289, 299, None), slice(56, 66, None), slice(4, 14, None))"
13,0.094,0.094,0.552053875013582,1.8919248495787628,1000,,1,0.019006643095053732,"(slice(289, 299, None), slice(56, 66, None), slice(4, 14, None))"
14,0.094,0.0,0.0,inf,1000,,2,0.01319706707727164,"(slice(289, 299, None), slice(56, 66, None), slice(4, 14, None))"
15,0.894,0.894,9.331444195892514,1.064501177396073,1000,,0,0.0266117179999128,"(slice(73, 83, None), slice(212, 222, None), slice(217, 227, None))"
16,0.894,0.894,8.368042583144716,1.1870557821182097,1000,,1,0.026600983925163746,"(slice(73, 83, None), slice(212, 222, None), slice(217, 227, None))"
17,0.894,0.894,9.367034092640436,1.0604566221380396,1000,,2,0.028259807033464313,"(slice(73, 83, None), slice(212, 222, None), slice(217, 227, None))"
18,0.0,0.0,0.0,inf,1000,,0,0.013755079009570181,"(slice(259, 269, None), slice(263, 273, None), slice(240, 250, None))"
19,0.0,0.0,0.0,inf,1000,,1,0.013767129043117166,"(slice(259, 269, None), slice(263, 273, None), slice(240, 250, None))"
20,0.0,0.0,0.0,inf,1000,,2,0.01412766904104501,"(slice(259, 269, None), slice(263, 273, None), slice(240, 250, None))"
21,0.68,0.68,3.8038522059927153,1.9862905145610765,1000,,0,0.02702797099482268,"(slice(198, 208, None), slice(278, 288, None), slice(173, 183, None))"
22,0.68,0.68,6.388615779165696,1.1826592515072574,1000,,1,0.025648869923315942,"(slice(198, 208, None), slice(278, 288, None), slice(173, 183, None))"
23,0.68,0.68,6.535885277763216,1.1560110427980619,1000,,2,0.02513531397562474,"(slice(198, 208, None), slice(278, 288, None), slice(173, 183, None))"
24,0.156,0.0,0.0,inf,1000,,0,0.014032908016815782,"(slice(240, 250, None), slice(173, 183, None), slice(252, 262, None))"
25,0.156,0.156,0.6675592602751169,2.5965235395266415,1000,,1,0.02273425494786352,"(slice(240, 250, None), slice(173, 183, None), slice(252, 262, None))"
